cod_assunto|nome_novo
669|Ribeiro de Araújo (Família)
670|Ribeiro de Goes (Família)
671|Ribeiro, Pedro
672|Bittencourt, Anna Ribeiro de Goes, 1843-1930
673|Espanhois na Argélia
674|Séculos XIX-XX
675|Espanhois no Marrocos
676|Prevenção de acidentes
678|Barcelona (Espanha)
679|Neves, Tancredo, 1910-1985
680|Visão política
681|Tração Ferroviaria Diesel
682|Séculos Xiv-Xviii
683|História, 711-1479
684|Espanhois no Magreb
685|Espanhois na Tunisia
686|Espanhois na África
687|Séculos Xv-Xviii
689|Ferrovias
691|Política e Governo, 1500-1904
692|Relações
693|Marroquinos na Espanha
694|Tunisianos na Espanha
695|Argelinos na Espanha
698|América Central
699|Campos, Narcisa Amália, 1852-1924
701|São Luís (MA)
703|Séculos XV-XVII
705|Portos
707|Alemães na América
708|Século XVI
709|Agenda
710|Archive Of Kominteen (Moscou)
712|União Soviética
713|Archivo General de La Nacion (Colombia)
714|Sistemas Nacionais de Arquivos
715|Archivo Nacional (Equador)
716|Arquivos Nacionais
717|Equador
718|Arquivos
719|Arranjo e descrição
720|Normalização
723|Arquivos estaduais
725|Arquivos públicos
728|Catálogos
729|Campos, Augusto Cezar Malta de, 1864-1957
730|Fotografias
731|Arquivo Geral da Cidade do Rio de Janeiro
732|Desenvolvimento econômico
733|Inflação e deflação
735|Sindicalismo
736|Previdência social
737|Aragão, João Moniz Barreto De, 1874-1922
739|Iniciativa privada
740|Heráldica
742|Reforma tributária
743|Médicos
744|Penha (SC)
746|Instituto Bahiano de Agricultura
747|História, 1500-1501
748|Mineralogia
749|Independência, 1822
750|História, 1798
751|Lira, Manuel Faustino dos Santos
752|Diplomacia
757|Patrocínio, José Carlos do, 1853-1905
758|Cronologia
759|Guerra do Paraguai, 1864-1870
760|Política e Governo, 1930-1945
761|Ribeiro, Rosalvo Alexandrino de Caldas, 1865-1915
762|Nóbrega, Manuel Da, Padre, 1517-1570
768|Sertão, Domingos Afonso
769|História militar
771|Polícia militar
773|Limites e fronteiras
775|História, 1919-1922
777|Camarajipe, Rio
778|Abaeté, Lagoa
780|Herança
781|Genealogia
782|História, 1549-1763
784|Recife (PE)
785|Bahia. Decreto-Lei Nº 952
786|Herval, Manuel Luís Osório, Marques do, 1808-1879
787|Santos, Agnaldo Manoel dos, 1926-1962
788|Carvalho, Genaro de
789|Cravo Júnior, Mário
790|Valentim, Rubem
791|Bernabo, Hector Júlio Paride
793|Oliveira, Raimundo de
794|Paleografia
795|Itajaí (SC)
796|Governo Nilo Peçanha, 1909-1910
797|Chateaubriand, Assis, 1892-1968
798|História, 1641-1661
799|Marques, Raul Astolfo, 1876-1918
800|Velho, Domingos Jorge, 1703
801|Bandeirismo
802|Fortificações
805|História, 1575
807|Farol do Forte de Santo Antônio da Barra (BA)
808|Banco da Bahia
