cod_autor|nome_completo
586|Aragão, Maria de Lourdes Calmon Vianna de
587|França, Mário Ferreira
588|Souza, Thomas Oscar Marcondes de
589|Fraga, Clementino
590|IRMANDADE DO SANTÍSSIMO SACRAMENTO DA CANDELÁRIA
591|Fragoso, Augusto Tasso
593|Graça, Mário Quartin
594|Rosa, José Maria
595|Onody, M. Oliver
596|Costa, Othon
597|Barros, Geraldo Mendes
598|Picolo, Helga Iracema Langraf
599|Homem De Mello, Francisco Ignacio Marcondes Homem de Mello, Barão
600|Jaeger, Luís Gonzaga
601|Ellis Junior, Alfredo
602|Azevedo Filho, José Bueno de Oliveira
603|Lamego, Alberto Ribeiro
604|Robbe, J. Alberto J.
605|Laytano, Dante de
606|Valença Júnior, J. V.
607|Pinto, Edmundo da Luz
608|Rezende, Oswaldo
610|Rocha, Carlos Eduardo da
611|Palha, Vicente Rodrigues
612|Neis, P. Rubem
613|Agostinho, Pedro
614|Boschi, Caio Cesar
616|Fonseca, Fernando L.
617|Mello Junior, Donato
618|Hunsche, Carlos Henrique
619|Oliveira, Waldir Freitas
620|Menezes, Roberval  Francisco Bezerra de
621|Menezes, Paulo Braga de
622|Derby, Orville Adelbert
623|Silva, Antônio Carlos Simõens da
624|Beisso, Serana Garat
625|Barros, Dalmiro da Mota Buys de
626|Dias, Antônio Caetano
627|Freire, Felisberto Firmo de Oliveira
628|Elias, Maria José
629|Werneck, Américo
630|Hogan, Daniel Joseph
631|Senna, Nelson Coelho de
632|Colaferri, Armando
633|Foot, Nelson
634|CONSELHO ESTADUAL DE CULTURA DE SANTA CATARINA
635|INSTITUTO HISTÓRICO E GEOGRÁFICO BRASILEIRO
636|Vittorino, Regni
637|Flores, Maria Bernardete Ramos
638|Kortchmar, Nair Klinger
639|Colombina, Francisco Tosi
640|Freitas, Leopoldo de
641|Soares, José Carlos de Macedo
642|Doria, Escragnolle
643|Azzi, Riolando
644|Camargo, Ana Maria de Almeida
645|CENTRO CÍVICO BENEFICENTE SADOCK DE SÁ (RJ)
646|Barbosa, Marcos de Araújo
647|Lefort, José do Patrocínio
648|Athayde, J. B. de
649|Neiva, Venâncio Figueiredo
650|Souza, Amélia Maria de
651|Mendes, Alípio
652|Dias, José dos Anjos
653|Villaça, Flávio
654|Costa Filho, Odylo
655|Burns, E. Bradford
656|Lacerda, Manoel
657|SOCIEDADE JOSÉ DE ALENCAR (CEARÁ)
658|Schubert, Guilherme
659|Pitanga, Antônio Ferreira de Souza
660|Santos, João Brígido dos
662|Goes, Carlos
663|Orlando, Arthur
664|Pinto, José Alcides
665|JOCKEY CLUB BRASILEIRO (RJ)
666|Lima, Murilo Cesar de
667|SANTA CATARINA. Constituição
668|Lages, Lily
669|Faro, Stella de
670|Simões, Isa Maria Drummond
671|Novaes, Maria Stella de
672|Abreu, Edith Mendes da Gama e
673|Mendonça Júnior, A. S. de
674|Baleeiro, Aliomar de Andrade
675|Stein, Ingrid
676|Rodrigues, Ieda Maria Pereira
677|Souza, Francisco Martins de
678|Mounce, Virginia Ann Newton
679|Pereira, Américo Arantes
680|Asimov, Isaac
685|Morales Lezcano, Victor
686|Yanaguida, TOSHIO
687|Rodrigues Del Alisal, Maria Dolores
688|Vernet, Juan
689|Veiga, Cláudio
690|Vianna, Marly de Almeida Gomes
691|Moraes, Stelio
692|Monteiro, Ana Maria Ferreira da Costa
693|Correa, Valmir Batista
694|Mendonça, Marina Gusmão de
695|Campos, Reynaldo Pompeu
696|Marson, Adalberto
697|Bresciani, Maria Stella Martins
698|Meneguello, Rachel
699|Perlongher, Nestor
700|Cruz, Sebastião C. Velasco e
701|Borges, Vavy Pacheco
702|Aubert, André Caramuru Teixeira
703|Calado, Adelino de Almeida
706|Bottaro, Raul H
707|Fairbairm, Arnold Hasselmann
708|Hahner, June E
709|SOCIEDADE CIVIL DE AMPARO AOS NECESSITADOS (RJ)
710|ASSOCIAÇÃO NACIONAL DAS ENFERMEIRAS DIPLOMADAS BRASILEIRAS
711|ATENEU ANGRENSE DE LETRAS E ARTES
712|Cruz, Avertano
713|Santos, Gabriel Salgado dos
716|Brazão, Arnaldo
717|Falcon, Francisco José Calazans
718|Rezende, Zeia Pinho
719|Barbosa, Manoel de Aquino
720|Oliveira, José Cláudio de
722|Mariani, José Bonifácio de Abreu
723|ACADEMIA DE LETRAS DA BAHIA
724|Guimarães, Fábio Nelson
726|Galveas, Ernane
727|Freitas, Newton
728|Sekinger, Ron Leroy
729|Souza, Affonso Ruy
730|Studart, Guilherme Studart, Barão de
732|Salles, David
733|Barbosa, José Victor
735|Paiva, Joaquim Thomaz de
736|Lapa, José Roberto do Amaral
737|Mc Donough, Peter
738|Frota, Guilherme de Andréa
739|Marena, Ninger Ovídio
740|Floriano, Raul
741|Andrade, Joaquim Marçal Ferreira de
742|Barbosa, Pedro Gomes
743|Blanco Perez, Azucena
744|Gonzalez Guitian, Carlos
745|Carvalho, Vânia Carneiro de
746|Costa, Helouise
747|Essus, Ana Maria Mauad de Sousa Andrade
748|Godinho, Victorino Magalhães
749|Hernandez Carrascal, Francisca
750|Kossoy, Boris
751|Lacerda, Aline Lopes de
752|Lima, Solange Ferraz de
753|Lissovsky, Maurício
754|Miguel, Maria Lúcia Cerruti
755|Maxwell, Kenneth
756|Melo, Luiza Baptista
757|Moraes, Antônio Carlos Robert
758|Mota, Carlos Guilherme
759|Novais, Fernando Antonio
760|Viana, Sônia Bayão Rodrigues
761|Oliveira, Márcia Ribeiro de
763|Vasquez, Pedro Karp
764|Lobo, Eulália Maria Lahmeyer
765|Tortima, Pedro
766|Nader, Gizlene
767|Samet, Henrique
768|Bogaciovas, Marcelo Meira do Amaral
769|Pimentel, Marcelo Meira Amaral
770|Bazin, Germain
771|Alfonzetti, Maria
772|Amante, Maria João
773|Correia, Ana Maria Ramalho
774|Wilson, T.D.
775|Avedon, Don M.
776|Carucci, Paola
777|Boyd, Fraser
778|Luigi, Antonella Mule de
